frame,track_id,class,conf,cx,cy,D_pixels,T_seconds,speed_kmh,count_trucks_unique
15,6,truck,0.6818821430206299,400.0937805175781,156.80328369140625,11.519772987248245,0.6,1.860886405632409,2
30,6,truck,0.4773823916912079,418.7001647949219,167.66006469726562,21.54221971442612,0.6,3.4798970307919124,3
45,6,truck,0.46286848187446594,446.77532958984375,185.48892211914062,33.257826264091584,0.6,5.372418088814794,3
46,36,truck,0.47445279359817505,128.559326171875,265.6773681640625,101.44400780110179,0.6,16.387108952485672,3
60,6,truck,0.5119858980178833,503.83331298828125,221.348388671875,67.39076085367712,0.6,10.886199830209382,6
62,36,truck,0.4471186697483063,169.93832397460938,229.45962524414062,54.99041997532388,0.6,8.883067842167705,7
63,80,truck,0.3406858742237091,107.22007751464844,238.37652587890625,62.85971095796376,0.6,10.154261000901839,7
80,36,truck,0.41586828231811523,200.06051635742188,204.10546875,39.37232133745736,0.6,6.360144216050805,8
95,36,truck,0.5521605014801025,217.3507080078125,191.71380615234375,21.272142071740507,0.6,3.436269103896544,10
110,36,truck,0.4471976161003113,229.88198852539062,181.2699432373047,16.312794649817345,0.6,2.6351437511243407,10
132,36,truck,0.3050336241722107,242.76077270507812,170.81898498535156,16.585704742537793,0.6,2.6792292276407204,15
151,36,truck,0.341831773519516,252.3201904296875,162.90370178222656,12.411050708441248,0.6,2.0048620375174324,15
271,216,truck,0.5537051558494568,377.77630615234375,143.16177368164062,8.073322927445695,0.6,1.3041521652027661,21
281,228,truck,0.6406955718994141,67.01056671142578,269.66094970703125,57.4198192659229,0.6,9.2755092660337,21
287,216,truck,0.4742492437362671,385.98626708984375,148.01165771484375,9.53545149455851,0.6,1.5403421645056057,22
296,228,truck,0.6038092970848083,112.9501953125,239.9320068359375,54.719827498671584,0.6,8.83935674978541,22
298,234,truck,0.5300809144973755,395.21868896484375,153.0341796875,13.5474409889334,0.6,2.1884327751353956,23
303,216,truck,0.48736485838890076,398.85546875,155.6505126953125,14.965575325533555,0.6,2.4175160141246512,24
311,228,truck,0.4508979320526123,144.68690490722656,220.3220672607422,37.30641439065808,0.6,6.026420786183228,25
330,228,truck,0.41488146781921387,174.1476593017578,201.65530395507812,34.87669756733176,0.6,5.633928068568976,29
330,258,truck,0.4079247713088989,78.2174072265625,268.004638671875,74.49878747964627,0.6,12.034419515942858,30
331,216,truck,0.6097497940063477,436.4808349609375,177.68116760253906,43.60066449420166,0.6,7.0431842644479605,30
345,228,truck,0.3893694579601288,191.81214904785156,191.781005859375,20.23699533588446,0.6,3.269053092719797,33
346,216,truck,0.5928986668586731,479.71112060546875,201.70947265625,49.45924626412765,0.6,7.989570550359082,33
355,217,truck,0.6093695759773254,434.9255676269531,207.11019897460938,91.46302189956333,0.6,14.774795845314078,34
360,228,truck,0.272243469953537,206.13003540039062,182.0270233154297,17.324608489838145,0.6,2.7985906022046234,35
487,392,truck,0.3577384054660797,111.65792846679688,240.66717529296875,74.81492464220457,0.6,12.085487826817664,43
502,392,truck,0.6089844703674316,143.17796325683594,219.2953338623047,38.08238685372232,0.6,6.151770184062836,43
